,obj_id,oid,link_bibcode,ra,dec,coo_bibcode,parallax,parallax_err,parallax_bibcode,pmra,pmdec,pm_err,pm_bibcode,radvel,radvel_err,rvz_bibcode,ids,EDR3 id,DR2 id,TIC,reported
818,Cl* NGC 188 DGV 817,303833,2008AJ....135.2264G,10.15785292257,85.11677894171,2020yCat.1350....0G,0.428,0.0182000007480382,2020yCat.1350....0G,2.585,2.884,3.0,2020yCat.1350....0G,-46.55,,2008AJ....135.2264G,Gaia EDR3 573933872721810688|TIC 461599147|2MASS J00403789+8507002|Cl* NGC  188    DGV     817|Cl* NGC  188    PKM    4145|Cl* NGC  188    UMK      53|Cl* NGC  188    SMV    4880|Gaia DR2 573933872721810688,573933872721810688,5.739338727218107e+17,461599147.0,1
819,NGC 188 2038,303910,2008AJ....135.2264G,11.05305370554,85.2341489589,2020yCat.1350....0G,0.5318,0.0165999997407197,2020yCat.1350....0G,0.402,3.101,3.0,2020yCat.1350....0G,-50.9,,2008AJ....135.2264G,Gaia EDR3 573941912900535040|TIC 461601227|2MASS J00441275+8514027|Cl* NGC  188    DGV     662|Cl* NGC  188    PKM    4672|Cl* NGC  188    UMK      83|Cl* NGC  188    SMV    6415|NGC   188  2038|Cl* NGC  188    FTS      70|Gaia DR2 573941912900535040,573941912900535040,5.7394191290053504e+17,461601227.0,1
823,Cl* NGC 188 PKM 1347,4926071,2008AJ....135.2264G,12.6107352379,85.75824682046,2020yCat.1350....0G,0.3968,0.032999999821186,2020yCat.1350....0G,0.034,3.744,3.0,2020yCat.1350....0G,-76.78,,2008AJ....135.2264G,Gaia EDR3 574072960942489728|TIC 461619091|Cl* NGC  188    PKM    1347|Cl* NGC  188    SMV    9267|2MASS J00502653+8545297|Gaia DR2 574072960942489728,574072960942489728,5.740729609424897e+17,461619091.0,1
825,Cl* NGC 188 DGV 1150,303709,2008AJ....135.2264G,6.80204642816,85.24096965699,2020yCat.1350....0G,0.5585,0.012699999846518,2020yCat.1350....0G,2.862,3.15,3.0,2020yCat.1350....0G,11.22,2.3499999046325684,2018yCat.1345....0G,Gaia EDR3 573622504773794816|TIC 461593857|2MASS J00271249+8514273|Cl* NGC  188    DGV    1150|Cl* NGC  188    PKM    2722|Cl* NGC  188    SMV     713|Gaia DR2 573622504773794816,573622504773794816,5.736225047737948e+17,461593857.0,1
827,Cl* NGC 188 PKM 2903,4922408,2008AJ....135.2264G,7.328892657,85.17164904503,2020yCat.1350....0G,0.3772,0.0337000004947185,2020yCat.1350....0G,-0.236,-0.065,3.0,2020yCat.1350....0G,-8.21,,2008AJ....135.2264G,Gaia EDR3 573574774799027200|TIC 461593826|Cl* NGC  188    PKM    2903|Cl* NGC  188    SMV    1170|2MASS J00291895+8510178|Gaia DR2 573574774799027200,573574774799027200,5.735747747990272e+17,461593826.0,1
829,Cl* NGC 188 DGV 1569,303790,2008AJ....135.2264G,9.23584031589,85.28899518325,2020yCat.1350....0G,0.4732,0.0179999992251396,2020yCat.1350....0G,-6.012,1.363,3.0,2020yCat.1350....0G,-67.1,,2008AJ....135.2264G,Gaia EDR3 573949025366334592|TIC 461597444|2MASS J00365667+8517202|Cl* NGC  188    DGV    1569|Cl* NGC  188    PKM    3654|Cl* NGC  188    SMV    3654|Gaia DR2 573949025366334592,573949025366334592,5.739490253663346e+17,461597444.0,1
830,Cl* NGC 188 DGV 1490,303871,2008AJ....135.2264G,11.54497992447,85.40786322152,2020yCat.1350....0G,0.3149,0.2198999971151352,2020yCat.1350....0G,-0.997,-0.651,3.0,2020yCat.1350....0G,-44.21,,2008AJ....135.2264G,Gaia EDR3 573968198100312704|TIC 461601504|2MASS J00461080+8524281|Cl* NGC  188    DGV    1490|Cl* NGC  188    PKM    4467|Cl* NGC  188    SMV    7342|Gaia DR2 573968198100312704,573968198100312704,5.739681981003127e+17,461601504.0,1
834,Cl* NGC 188 SMV 12790,304260,2008AJ....135.2264G,15.854169757639998,85.35609872757,2020yCat.1350....0G,0.7199,0.0162000004202127,2020yCat.1350....0G,6.814,-1.908,3.0,2020yCat.1350....0G,-76.25,,2008AJ....135.2264G,Gaia EDR3 573782376337944704|TIC 461627800|Cl* NGC  188    SMV   12790|2MASS J01032501+8521220|Cl* NGC  188    DGV    1198|Cl* NGC  188    PKM    6730|Gaia DR2 573782376337944704,573782376337944704,5.737823763379447e+17,461627800.0,1
838,Cl* NGC 188 PKM 7536,4922582,2008AJ....135.2264G,7.898739209279999,84.9414205181,2020yCat.1350....0G,0.4231,0.0364999994635582,2020yCat.1350....0G,-1.521,-0.044,3.0,2020yCat.1350....0G,-55.12,,2008AJ....135.2264G,Gaia EDR3 573565261449702400|TIC 461595449|Cl* NGC  188    PKM    7536|Cl* NGC  188    SMV    1612|2MASS J00313575+8456290|Gaia DR2 573565261449702400,573565261449702400,5.735652614497024e+17,461595449.0,1
840,Cl* NGC 188 DGV 37,304422,2008AJ....135.2264G,13.62372393806,84.97489955687,2020yCat.1350....0G,0.627,0.0195000004023313,2020yCat.1350....0G,-12.479,1.832,3.0,2020yCat.1350....0G,-80.82,,2008AJ....135.2264G,Gaia EDR3 573741870503127424|TIC 461620426|2MASS J00542967+8458296|Cl* NGC  188    DGV      37|Cl* NGC  188    PKM    9184|Cl* NGC  188    SMV   11135|Gaia DR2 573741870503127424,573741870503127424,5.737418705031274e+17,461620426.0,1
